1-к. квартира, 17,4 м2, 8/10 эт.;2 470 000;"Количество комнат: 1
Общая площадь: 17.4 м2
Площадь кухни: 5 м2
Жилая площадь: 12 м2
Этаж: 8 из 10
Балкон или лоджия: балкон
Высота потолков: 2.8 м
Санузел: совмещенный
Окна: во двор
Отделка: чистовая";https://www.avito.ru/arhangelsk/kvartiry/1-k._kvartira_174m_810et._2228209801
1-к. квартира, 33,1 м2, 2/5 эт.;2 750 000;"Количество комнат: 1
Общая площадь: 33.1 м2
Площадь кухни: 6 м2
Жилая площадь: 19.8 м2
Этаж: 2 из 5
Балкон или лоджия: балкон
Санузел: совмещенный
Ремонт: косметический
Мебель: кухня
Способ продажи: свободная
Вид сделки: возможна ипотека";https://www.avito.ru/arhangelsk/kvartiry/1-k._kvartira_331m_25et._2524226385
Квартира-студия, 18 м2, 2/5 эт.;2 500 000;"Количество комнат: студия
Общая площадь: 18 м2
Этаж: 2 из 5
Балкон или лоджия: балкон
Санузел: совмещенный
Ремонт: дизайнерский
Мебель: кухня, хранение одежды, спальные места
Техника: холодильник, стиральная машина, водонагреватель
Способ продажи: свободная
Вид сделки: возможна ипотека";https://www.avito.ru/arhangelsk/kvartiry/kvartira-studiya_18m_25et._2508999723
2-к. квартира, 37 м2, 8/9 эт.;2 999 000;"Количество комнат: 2
Общая площадь: 37 м2
Площадь кухни: 5 м2
Жилая площадь: 27 м2
Этаж: 8 из 9
Балкон или лоджия: балкон
Тип комнат: изолированные
Санузел: раздельный
Окна: во двор
Ремонт: евро
Способ продажи: свободная
Вид сделки: возможна ипотека";https://www.avito.ru/arhangelsk/kvartiry/2-k._kvartira_37m_89et._2349165046
1-к. квартира, 31 м2, 3/5 эт.;2 950 000;"Количество комнат: 1
Общая площадь: 31 м2
Площадь кухни: 6 м2
Жилая площадь: 18 м2
Этаж: 3 из 5
Балкон или лоджия: балкон
Санузел: совмещенный
Окна: во двор, на солнечную сторону
Ремонт: косметический
Мебель: кухня, хранение одежды
Техника: холодильник
Способ продажи: свободная";https://www.avito.ru/arhangelsk/kvartiry/1-k._kvartira_31m_35et._2356620382
3-к. квартира, 61 м2, 4/5 эт.;2 580 000;"Количество комнат: 3
Общая площадь: 61 м2
Площадь кухни: 6 м2
Жилая площадь: 48 м2
Этаж: 4 из 5
Балкон или лоджия: балкон
Тип комнат: изолированные
Санузел: раздельный
Окна: во двор
Ремонт: косметический
Способ продажи: свободная
Вид сделки: возможна ипотека";https://www.avito.ru/arhangelsk/kvartiry/3-k._kvartira_61m_45et._2477730385
